Вакансия;Ссылка;Компания;Оплата;Описание;Требования
Back-end разработчик Python;https://omsk.hh.ru/vacancy/31547598?query=django; UBEX AI AG;100 000-180 000 руб.;Участвовать в разработке международного рекламного проекта. Писать с нуля большую часть высоконагруженной рекламной RTB - платформы (DSP/ADEX/SSP, биллинг, нейросеть...;Python 3.6 на отлично. Опыт работы с Django. Глубокое знание современных веб технологий. Опыт работы с SQL. 
DevOps Engineer;https://omsk.hh.ru/vacancy/31736267?query=django; BestDoctor;170 000-220 000 руб.;Перевести существующую инфраструктуру на Kubernetes. Ускорить CI, сборку и деплой и улучшить его инструменты. Сделать сервисы быстрее и надёжнее. ;Backend: Python 3.7, Django, Flask. Frontend: TypeScript, React. Mobile: React Native. CentOS 7, PostgreSQL (9.6), Redis, ElasticSearch. 
Системный администратор (международный формат);https://omsk.hh.ru/vacancy/31413194?query=django;ООО Капитал;60 000-120 000 руб.;Хорошие навыки общения и сотрудничества. ● Интересные каждодневные задачи и международное общение. ● Тренинги с учетом ваших конкретных карьерных планов. SYSTEM ADMINISTRATOR.;Мы ищем человека, сочетающего в себе следующие навыки: ● Расширенные знания операционной системы Linux. ● Bash, Python и скрипты Powershell. ● 
Backend Developer;https://omsk.hh.ru/vacancy/31890856?query=django;ООО Ключевой фактор;30 000-70 000 руб.;Разрабатывать backend часть для веб и мобильных приложений. Поддерживать серверную часть существующих приложений. Конструктивно взаимодействовать в команде. Имеешь какой-то...;Знаешь хотя-бы один из серверных языков (NodeJS, Python, PHP, Ruby). Умеешь писать простой и понятный код, следуя принятой методологии. 
Бизнес-аналитик в команду Internal;https://omsk.hh.ru/vacancy/31919117?query=django; BestDoctor;до 150 000 руб.;Под этим мы понимаем создание сервисов и интеграции с внешними инструментами (slack, amocrm, trello, email и др.) для всех операционных...;Способен находить решения, используя сторонние сервисы или настраивая существующие. Слова Docker/Django/Flask/REST/JSON/OData для тебя не пустой...
Инженер-программист;https://omsk.hh.ru/vacancy/31974753?query=django;АО Атомтехэнерго;30 000-70 000 руб.;Разработка, отладка и сопровождение программного обеспечения. Рефакторинг кода программного обеспечения. Разработка юнит-тестов. Разработка эксплуатационной документации программного обеспечения. ;Навыки самостоятельного проектирования ПО, знание ООП, алгоритмов. Хорошее знание C++, SQL, Python/Django, React/Redux, Java EE (JSP), юнит-тесты...
Программист Московского бэк-офиса Чешского банка;https://omsk.hh.ru/vacancy/31984916?query=django; Euro Str Limited;100 000-250 000 руб.;Бэкенд если python (серверная часть) - flask, django, tornado (на выбор). Можно ruby, golang(другие языки программирования). Бд (база данных) - postgresql...;Фронт (angular, react, vue на выбор - современные вебфреймворки node.js). Опыт работы с restAPI. Понимание модульности в этих технологиях. 
Junior Python разработчик;https://omsk.hh.ru/vacancy/28755864?query=django; Крона-КС;от 30 000 руб.;Доработка и развитие наших облачных сервисов (фронт, бэк, мобильное приложение под iOS и Android), написание unit-тестов, участие в разработке...;Знание Python. Понимание основных структур данных. Активное стремление профессионально развиваться и строить успешную карьеру в области разработки инновационного ПО. 
Web-разработчик (г. Рыбинск);https://omsk.hh.ru/vacancy/31964651?query=django;ООО Электроника, ПСЦ;от 40 000 руб.;Качественная разработка программного обеспечения. Разработчик web.;Знание и опыт применения системы контроля версий (git). Приветствуется опыт работы с Django, PostgreSQL, Vue.js, JQuery, EasyUI, Angular, Dojo. 
Full Stack Developer / Разработчик ( Java / Frontend);https://omsk.hh.ru/vacancy/23718194?query=django;ООО Креатик Софт;до 100 000 руб.;Смесь Amazon и Uber для Middle East — каталог местных бизнесов с их товарами и сервис их доставки, а заодно и...;Знание Grails, PHP, Ruby on Rails, Django, Struts. Преобразование данных XML, XSLT, XPath, JSON. Опыт работы с сервисами безопасности (e...
Frontend Developer (middle/senior);https://omsk.hh.ru/vacancy/26139135?query=django;ООО Креатик Софт;80 000-150 000 руб.;Смесь Amazon и Uber для Middle East — каталог местных бизнесов с их товарами и сервис их доставки, а заодно и...;Знание Grails, PHP, Ruby on Rails, Django, Struts, Zend. Преобразование данных XML, XSLT, XPath JSON. Опыт длительного развития написанных другими...
Backend Java Developer (middle/senior);https://omsk.hh.ru/vacancy/23111276?query=django;ООО Креатик Софт;90 000-150 000 руб.;Центральная часть платформы Tradeshift — e-commerce “соцсети”, которая соединяет корпоративных покупателей и поставщиков, автоматизирует их взаимоотношения. Смесь Amazon и Uber...;Знание Grails, PHP, Ruby on Rails, Django, Struts. Преобразование данных XML, XSLT, XPath JSON. Опыт работы с сервисами безопасности (e...
